course_id,course_name,platform,domain,difficulty_level,skills_covered,topics,prerequisites,duration_hours,rating,min_year,min_preparedness_cgpa,career_tags,learning_outcomes,certificate_Available,hands_on_project
C001,Python for Data Analysis with Pandas,Coursera,Data Science,Intermediate,Python; Pandas; NumPy; Data Cleaning,DataFrames; Joins; GroupBy; Time Series Basics,Intro Python; Basic statistics,22,4.7,2,7,Data Analyst; Business Analyst,Clean and transform real-world datasets; Build reproducible analysis notebooks,Yes,Yes
C002,Machine Learning Foundations,edX,AI/ML,Beginner,ML Concepts; Model Evaluation; Feature Engineering,Supervised vs Unsupervised; Bias-Variance; Metrics,Linear algebra basics; Python basics,18,4.5,2,7.2,ML Engineer; Data Scientist,Explain core ML workflows; Train baseline models and evaluate performance,Yes,Yes
C003,Deep Learning Specialization: Neural Networks,Coursera,AI/ML,Advanced,TensorFlow; Neural Nets; Optimization; Regularization,Backpropagation; CNNs; RNNs; Hyperparameter Tuning,ML fundamentals; Python; Calculus basics,60,4.8,3,7.8,Deep Learning Engineer; AI Research,Build and tune deep neural networks; Apply DL to vision and sequence tasks,Yes,Yes
C004,SQL for Data Professionals,DataCamp,Data Science,Beginner,SQL; Data Querying; Joins; Aggregations,SELECT; WHERE; GROUP BY; Window Functions,None,12,4.6,1,6.5,Data Analyst; BI Analyst,Write efficient queries; Analyze datasets using SQL patterns,Yes,Yes
C005,Power BI Dashboard Design,Udemy,Business Intelligence,Intermediate,Power BI; DAX; Data Modeling; Visualization,Star Schema; Measures; KPIs; Publishing,Basic Excel; SQL basics (optional),28,4.6,2,6.8,BI Developer; Reporting Analyst,Model data for BI; Build interactive dashboards and share insights,Yes,Yes
C006,Full-Stack Web Development with MERN,Udemy,Web Development,Intermediate,JavaScript; React; Node.js; MongoDB,REST APIs; Authentication; State Management; Deployment,HTML/CSS; JavaScript fundamentals,55,4.4,2,6.8,Full-Stack Developer; Software Engineer,Build complete web apps; Implement auth and deploy to cloud,Yes,Yes
C007,Responsive Web Design,freeCodeCamp,Web Development,Beginner,HTML; CSS; Accessibility; Responsive Layouts,Flexbox; Grid; Media Queries; Forms,None,30,4.7,1,6,Front-End Developer; UI Developer,Create responsive pages; Apply accessibility best practices,Yes,Yes
C008,Java Programming and OOP,Coursera,Software Engineering,Beginner,Java; OOP; Debugging; Unit Testing,Classes; Inheritance; Interfaces; Collections,Basic programming logic,40,4.5,1,6.5,Java Developer; Backend Engineer,Design OOP programs; Implement reusable components; Write basic tests,Yes,Yes
C009,Spring Boot REST APIs,Pluralsight,Software Engineering,Intermediate,Spring Boot; REST; JPA; Security Basics,Controllers; Services; Hibernate; API Documentation,Java OOP; SQL basics,24,4.4,2,7,Backend Engineer; API Developer,Build production-ready REST APIs; Persist data with JPA,Yes,Yes
C010,AWS Cloud Practitioner Essentials,AWS Skill Builder,Cloud Computing,Beginner,AWS Basics; Cloud Concepts; Billing; IAM Basics,EC2; S3; VPC Overview; Shared Responsibility,None,14,4.6,1,6,Cloud Engineer; Solutions Architect,Identify core AWS services; Understand pricing and basic security,Yes,No
C011,Azure Fundamentals (AZ-900) Prep,Microsoft Learn,Cloud Computing,Beginner,Azure Services; Identity; Governance; Pricing,Compute; Storage; Networking; Entra ID,None,16,4.5,1,6,Cloud Engineer; IT Associate,Describe Azure architecture; Prepare for AZ-900,Yes,No
